event_name,date,day_type,sector_zone,parking_walk_km,shuttle_distance_km,has_expanded_ghat,throughput_tier,days_since_start,festival_proximity_days,temperature_c,crowd_risk_level,is_synthetic,data_source_notes
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Trimbakeshwar Inner Ghats,2.95,8.28,0,3,28,1,31.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Sadhugram,0.58,4.1,1,1,43,3,30.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Normal Day,Ram Kund - Panchavati,2.03,11.44,1,2,3,6,29.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Normal Day,Trimbakeshwar Inner Ghats,2.7,14.7,1,3,51,6,30.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Weekend,Outer Transit & Parking,2.04,16.61,0,1,52,6,23.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 34,2027-08-04,Normal Day,Trimbakeshwar Inner Ghats,1.94,9.55,0,2,33,5,29.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Tapovan,1.74,4.64,1,1,38,3,34.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Shahi Snan,Outer Transit & Parking,2.26,16.17,0,1,47,0,34.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Normal Day,Trimbakeshwar Inner Ghats,2.09,12.97,0,3,4,4,34.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Sadhugram,1.32,4.26,1,1,49,2,22.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Normal Day,Tapovan,1.34,4.98,1,2,59,3,24.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Weekend,Sadhugram,0.53,6.66,1,1,52,7,33.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Amavasya,Trimbakeshwar Inner Ghats,1.97,15.87,0,3,23,0,25.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Amavasya,Sadhugram,0.69,7.34,1,1,58,0,32.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Weekend,Tapovan,0.96,4.2,1,2,45,4,32.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Trimbakeshwar Inner Ghats,1.88,9.29,1,2,14,4,29.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 9,2027-08-09,Normal Day,Outer Transit & Parking,3.02,13.16,0,1,8,3,34.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 47,2027-08-17,Weekend,Trimbakeshwar Inner Ghats,2.32,8.84,0,3,46,1,23.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 43,2027-08-13,Normal Day,Trimbakeshwar Inner Ghats,1.52,10.61,1,2,42,4,26.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 49,2027-08-19,Weekend,Tapovan,1.0,4.63,1,2,48,2,22.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 43,2027-08-13,Shahi Snan,Ram Kund - Panchavati,2.59,10.28,1,1,42,0,32.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Normal Day,Sadhugram,0.94,6.62,1,1,2,1,29.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Weekend,Ram Kund - Panchavati,2.76,8.02,0,2,52,2,30.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Weekend,Outer Transit & Parking,2.98,11.6,0,1,59,7,30.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Normal Day,Ram Kund - Panchavati,2.74,8.5,1,2,50,1,31.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Normal Day,Sadhugram,1.23,5.43,1,1,34,3,33.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Shahi Snan,Tapovan,1.14,6.15,1,1,59,0,32.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Tapovan,1.02,9.13,1,1,14,7,33.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Ram Kund - Panchavati,2.24,7.87,1,3,39,1,22.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Normal Day,Sadhugram,0.83,5.24,1,1,53,3,30.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Outer Transit & Parking,3.06,11.34,0,1,14,4,24.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Amavasya,Trimbakeshwar Inner Ghats,2.97,12.47,1,2,26,0,34.8,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 57,2027-08-27,Normal Day,Outer Transit & Parking,2.18,13.62,0,1,56,1,34.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Tapovan,1.62,4.1,1,2,23,3,29.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Normal Day,Sadhugram,0.64,3.15,1,1,29,4,26.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Weekend,Tapovan,0.99,5.41,1,1,11,5,30.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Shahi Snan,Sadhugram,1.0,6.09,1,1,40,0,33.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Shahi Snan,Trimbakeshwar Inner Ghats,1.87,13.27,0,3,40,0,23.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Weekend,Tapovan,1.84,9.96,1,1,36,2,25.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Weekend,Trimbakeshwar Inner Ghats,2.8,14.38,0,3,40,6,23.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Normal Day,Ram Kund - Panchavati,2.18,9.38,1,2,19,4,29.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Normal Day,Sadhugram,1.12,5.32,1,1,36,4,26.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Amavasya,Tapovan,0.83,6.05,1,1,28,0,29.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 43,2027-08-13,Weekend,Tapovan,1.79,6.59,1,1,42,3,34.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Weekend,Sadhugram,0.85,3.51,1,1,3,7,28.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Normal Day,Trimbakeshwar Inner Ghats,2.54,13.73,0,3,32,2,23.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 11,2027-08-11,Normal Day,Trimbakeshwar Inner Ghats,2.71,8.86,1,2,10,3,34.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Weekend,Outer Transit & Parking,2.9,16.55,0,1,37,7,33.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Ram Kund - Panchavati,1.78,11.44,1,2,38,1,25.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 49,2027-08-19,Amavasya,Tapovan,1.72,4.9,1,1,48,0,25.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Amavasya,Ram Kund - Panchavati,1.35,6.14,1,2,13,0,29.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Weekend,Ram Kund - Panchavati,2.31,8.43,1,2,59,1,31.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Shahi Snan,Trimbakeshwar Inner Ghats,2.53,10.7,1,3,49,0,25.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Ram Kund - Panchavati,1.31,9.11,0,3,13,2,25.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Normal Day,Tapovan,1.35,5.14,0,1,40,2,26.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Normal Day,Trimbakeshwar Inner Ghats,2.58,14.04,0,3,5,7,27.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Amavasya,Trimbakeshwar Inner Ghats,2.63,14.36,1,2,20,0,27.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Amavasya,Outer Transit & Parking,2.39,16.3,0,1,5,0,33.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 47,2027-08-17,Weekend,Trimbakeshwar Inner Ghats,1.56,10.43,0,2,46,5,23.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 17,2027-08-17,Normal Day,Trimbakeshwar Inner Ghats,2.98,9.29,1,3,16,7,29.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Normal Day,Trimbakeshwar Inner Ghats,2.89,11.04,1,3,55,1,32.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Outer Transit & Parking,2.34,17.66,0,1,1,1,29.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Shahi Snan,Tapovan,1.83,9.54,1,2,7,0,31.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Ram Kund - Panchavati,1.97,9.04,0,1,39,1,32.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 19,2027-08-19,Normal Day,Trimbakeshwar Inner Ghats,2.25,8.85,1,2,18,3,30.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Sadhugram,0.98,6.77,1,1,11,2,30.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 11,2027-08-11,Normal Day,Sadhugram,1.28,4.33,1,1,10,1,24.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Weekend,Ram Kund - Panchavati,1.48,9.93,1,2,13,2,32.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Outer Transit & Parking,2.72,11.42,0,1,21,3,27.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Weekend,Outer Transit & Parking,2.8,11.72,0,1,45,1,22.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Outer Transit & Parking,2.06,12.97,0,1,11,1,25.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Normal Day,Outer Transit & Parking,2.49,15.9,0,1,29,1,28.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Normal Day,Trimbakeshwar Inner Ghats,3.13,9.07,0,3,51,2,34.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Outer Transit & Parking,2.58,13.6,0,1,49,3,25.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Amavasya,Outer Transit & Parking,3.11,14.1,0,1,9,0,30.8,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Normal Day,Ram Kund - Panchavati,1.77,7.78,1,2,57,5,30.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Sadhugram,1.33,3.34,1,1,24,3,27.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Amavasya,Ram Kund - Panchavati,2.27,6.06,0,1,58,0,22.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Shahi Snan,Tapovan,0.95,6.85,0,1,19,0,34.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Normal Day,Tapovan,1.07,6.23,1,1,20,7,30.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Shahi Snan,Trimbakeshwar Inner Ghats,1.84,15.1,1,2,7,0,32.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Weekend,Outer Transit & Parking,2.84,11.44,0,1,58,5,22.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 17,2027-08-17,Normal Day,Sadhugram,1.23,3.54,1,1,16,3,30.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Normal Day,Sadhugram,1.11,3.53,1,1,45,5,24.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Trimbakeshwar Inner Ghats,1.77,11.69,0,2,38,5,31.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Normal Day,Tapovan,1.54,8.13,1,1,44,6,28.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Amavasya,Tapovan,1.69,5.21,1,1,2,0,26.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Amavasya,Outer Transit & Parking,2.58,15.15,0,1,7,0,32.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Tapovan,1.63,4.02,1,1,23,3,32.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Normal Day,Sadhugram,1.06,5.8,1,1,3,4,29.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Weekend,Tapovan,1.19,7.82,0,2,36,1,31.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Normal Day,Ram Kund - Panchavati,1.55,9.59,1,3,26,1,34.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Weekend,Ram Kund - Panchavati,1.49,10.12,1,2,38,3,31.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Sadhugram,0.77,5.59,1,1,1,6,25.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Shahi Snan,Tapovan,1.07,6.26,1,1,51,0,27.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 55,2027-08-25,Weekend,Tapovan,0.81,4.34,1,1,54,5,27.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Shahi Snan,Ram Kund - Panchavati,1.31,6.34,0,1,57,0,25.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Normal Day,Tapovan,0.99,9.12,0,2,50,2,29.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Tapovan,1.88,4.13,1,2,24,2,29.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Weekend,Tapovan,1.67,5.15,1,1,58,1,34.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 7,2027-08-07,Shahi Snan,Outer Transit & Parking,2.23,11.8,0,1,6,0,25.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Outer Transit & Parking,2.81,16.33,0,1,13,3,29.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Weekend,Tapovan,1.93,9.1,1,1,29,1,27.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Trimbakeshwar Inner Ghats,2.85,11.98,0,3,21,7,29.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Weekend,Trimbakeshwar Inner Ghats,2.99,15.04,1,2,31,2,27.9,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Trimbakeshwar Inner Ghats,2.27,11.18,0,3,47,2,24.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Trimbakeshwar Inner Ghats,2.58,14.38,0,3,47,4,28.9,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Weekend,Sadhugram,0.67,5.54,1,1,21,6,29.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Outer Transit & Parking,2.47,16.39,0,1,43,6,34.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Shahi Snan,Outer Transit & Parking,3.0,15.08,0,1,59,0,24.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Amavasya,Sadhugram,0.51,5.8,1,1,9,0,28.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Normal Day,Outer Transit & Parking,2.44,17.35,0,1,58,2,23.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Weekend,Ram Kund - Panchavati,1.93,8.15,1,3,28,6,26.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Amavasya,Ram Kund - Panchavati,1.43,8.09,1,2,14,0,30.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Weekend,Ram Kund - Panchavati,2.77,9.8,0,2,50,3,26.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Ram Kund - Panchavati,1.32,6.46,1,3,39,7,24.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Outer Transit & Parking,2.98,17.51,0,1,1,2,33.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Weekend,Tapovan,0.8,5.01,1,1,39,6,24.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Sadhugram,0.98,3.09,1,1,24,6,27.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Shahi Snan,Sadhugram,1.3,3.09,1,1,45,0,34.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Weekend,Sadhugram,1.14,5.25,1,1,37,3,24.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 18,2027-08-18,Amavasya,Outer Transit & Parking,2.45,15.95,0,1,17,0,22.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Shahi Snan,Tapovan,1.51,9.35,0,1,40,0,25.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Trimbakeshwar Inner Ghats,2.75,12.2,0,3,13,3,22.8,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Shahi Snan,Outer Transit & Parking,2.12,17.29,0,1,41,0,28.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Normal Day,Outer Transit & Parking,3.05,11.9,0,1,37,4,28.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Normal Day,Trimbakeshwar Inner Ghats,3.12,12.81,1,3,29,4,30.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Normal Day,Trimbakeshwar Inner Ghats,1.91,11.76,0,3,36,7,30.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Outer Transit & Parking,2.81,16.83,0,1,28,4,22.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Normal Day,Outer Transit & Parking,2.6,10.36,0,1,26,2,25.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Amavasya,Ram Kund - Panchavati,1.38,8.07,1,3,37,0,28.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Trimbakeshwar Inner Ghats,2.64,10.07,1,2,43,6,31.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Shahi Snan,Outer Transit & Parking,2.95,10.41,0,1,0,0,25.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Weekend,Tapovan,1.6,4.55,1,1,39,6,33.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Sadhugram,1.17,6.39,1,1,21,7,26.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Weekend,Ram Kund - Panchavati,2.36,6.72,1,1,36,6,28.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Normal Day,Ram Kund - Panchavati,1.92,6.51,1,3,41,3,32.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Amavasya,Trimbakeshwar Inner Ghats,2.95,11.23,0,3,23,0,33.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
